index,book_id,user_id,rating
324,4,13776,4
331,4,17228,5
337,4,19526,5
361,4,30283,4
363,4,30681,5
371,4,32923,5
380,4,39423,5
385,4,45269,5
397,4,52036,3
1405,15,2900,4
1407,15,3662,4
1433,15,13776,5
1442,15,17228,5
1468,15,30681,4
1472,15,32923,5
1480,15,38082,5
1482,15,42508,4
8802,89,1350,4
8803,89,2276,4
8806,89,2900,5
8808,89,3662,5
8821,89,9771,5
8838,89,15748,1
8849,89,19526,4
8868,89,30681,4
8869,89,31001,5
8878,89,39423,5
8883,89,42574,4
8886,89,43300,5
8894,89,49382,5
19102,192,2477,4
19105,192,3662,5
19106,192,3721,4
19108,192,5435,4
19111,192,6016,4
19112,192,6042,5
19126,192,14235,5
19128,192,14936,5
19133,192,16587,5
19134,192,18169,3
19137,192,20782,5
19138,192,21268,5
19142,192,23768,5
19144,192,24609,5
19147,192,27221,4
19149,192,27460,4
19152,192,28459,4
19160,192,32052,5
19162,192,33679,5
19164,192,34315,5
19167,192,35111,5
19170,192,37099,5
19182,192,43300,5
19184,192,43727,5
19186,192,45269,5
19187,192,48297,5
19191,192,49382,5
19192,192,50342,5
19193,192,50444,5
19196,192,52036,3
19198,192,52956,5
24926,250,12734,5
24927,250,12791,5
24966,250,32923,4
24983,250,41861,5
24985,250,43176,4
24990,250,48196,5
24996,250,50976,4
26402,265,2900,5
26407,265,3662,4
26474,265,32923,5
26485,265,39423,5
26489,265,42574,5
26616,267,6016,4
26626,267,8388,4
26636,267,12734,5
26638,267,12791,5
26640,267,13391,4
26648,267,15037,4
26655,267,20782,4
26670,267,29502,4
26672,267,32160,4
26674,267,32923,5
26688,267,46754,5
26695,267,50976,4
30605,307,5435,4
30607,307,6016,4
30608,307,6042,4
30614,307,10457,4
30621,307,14235,4
30624,307,14936,5
30629,307,16587,5
30630,307,16662,4
30631,307,18165,5
30632,307,18169,2
30635,307,20782,5
30636,307,21268,5
30639,307,23768,5
30641,307,24609,5
30643,307,27221,4
30645,307,27460,3
30648,307,28882,3
30656,307,32052,5
30661,307,33713,5
30662,307,34315,5
30664,307,35111,5
30667,307,37099,5
30673,307,39013,5
30683,307,43300,5
30684,307,43727,5
30686,307,45071,5
30687,307,45269,5
30692,307,49382,5
30693,307,50342,5
30694,307,50444,5
30695,307,50684,5
30698,307,52036,3
30699,307,52956,3
31735,318,12734,5
31738,318,13391,4
31750,318,20319,4
31772,318,32923,4
31773,318,35780,4
31796,318,50976,4
34303,344,1350,5
34332,344,10457,4
34347,344,14936,4
34358,344,23486,5
34388,344,45269,3
36400,365,2125,4
36401,365,2276,4
36402,365,3420,3
36408,365,6042,5
36409,365,6149,4
36415,365,8831,5
36419,365,9771,5
36420,365,9809,5
36422,365,10457,4
36426,365,13776,3
36429,365,16573,4
